key,value
settingsImportation.instruction2,Campos marcados com * são obrigatórios
settingsImportation.importButton,Importar
settingsImportation.downloadModelButton,Baixar modelo
settingsImportation.importSuccess,Importação realizada com sucesso!
settingsImportation.importModalTitle,Confirmar importação?
settingsImportation.importModalNextText,Confirmar e importar
settingsHistory.title,Histórico de importação
settingsHistory.listSectionTitle,Não há histórico de importação no momento
settingsHistory.listSectionDescription,"Assim que a primeira importação for feita, ela poderá ser visualizada nesta página"
404error.title,404
404error.description,Esta página não está disponível
mappers.expanded_collective,Coletivo Expandido
mappers.in_operation,Em operação
mappers.minimum_collective,Coletivo Mínimo
mappers.non_manager,Não gestor
mappers.on_vacation,Em férias
mappers.openedVacancies,vagas abertas
mappers.peoplePositions,Pessoas/Posições
mappers.to_hire,A contratar
mappers.other,Outros
mappers.own,Próprio
mappers.third_party,Terceiro
validationErrors.numberValidation,Este campo deve ser preenchido somente com números
validationErrors.emailValidation,Insira um e-mail válido
validationErrors.requiredPassword,Campo senha é obrigatório
validationErrors.invalidPhoneNumber,Telefone inválido
validationErrors.textLength,Mínimo de 3 letras
validationErrors.fullName,Escreva o nome completo
validationErrors.passwordField,"A senha deverá conter pelo menos 6 caracteres, incluindo letras maiúsculas, minúsculas, número e caractere especial"
validationErrors.fullNameCharacters,Use somente letras e espaço!
