key,pt,en
containersCollective.simpleExpendedManagerCollectiveDescription,"Coletivo utilizado para separar pessoas que trabalham em áreas geográficas ou processos diferentes, dentro de uma mesma unidade gerencial. O responsável será o(a) gestor(a) do coletivo de gestor no qual ele está inserido","Working group used to separate people who work in different geographic areas or processes, within the same management unit. The person in charge will be the manager of the manager group in which he is inserted"
containersCollective.collectiveMovedTo,Coletivo movido para {{place}},Working group moved to {{place}}
containersCollective.submitCollectiveModalTitle,Deseja salvar a edição do coletivo?,"Do you want to save the changes in the working group? "
containersCollective.submitSimpleCollectiveModalBody,"Ao continuar, o coletivo editado deixará de ser um coletivo expandido simples e se tornará um coletivo expandido de gestor, e consequentemente a cadeira do gestor será criada.","By continuing, the edited working group will no longer be a simple expanded working group and will become a manager expanded working group, and consequently the manager's position will be created."
containersCollective.submitManagerCollectiveModalBody,"Ao continuar, o coletivo editado deixará de ser um coletivo expandido de gestor e se tornará um coletivo expandido simples, e consequentemente a cadeira de gestor será transformada em cadeira de não gestor.","By continuing, the edited workig group will no longer be an expanded manager working group and will become a simple expanded working group, and consequently the manager position will be transformed into a non-managerial position."
containersCollective.closeCollectiveCreation,Deseja fechar a aba de criação de coletivo?,Do you want to close the working group creation tab?
containersCollective.closeCollectiveUpdate,Deseja fechar a aba de atualização de coletivo?,Do you want to close the working group update tab?
containersCollective.closeSeatCreation,Deseja fechar a aba de criação de cadeira?,Do you want to close the position creation tab?
containersCollective.closeSeatUpdate,Deseja fechar a aba de atualização de cadeira?,Do you want to close the position update tab?
containersCollective.confirmCloseCollectiveAction,"Se você continuar, todas as informações que você preencheu serão perdidas e a criação será cancelada.","If you continue, all the information you filled in will be lost and the creation will be cancelled."
containersCollective.confirmDeleteSeat,Deseja excluir esta cadeira?,Do you want to delete this position?
containersCollective.confirmCloseMoveSeatTitle,Deseja fechar a aba de mover cadeira?,Do you want to close the tab and move the position?
containersCollective.seatActionModalContentDelete,"Se você continuar, a cadeira será totalmente excluída e você não poderá desfazer esta ação. A pessoa alocada não será removida do sistema e poderá ser realocada em outro lugar.","If you continue, the position will be completely deleted and you will not be able to undo this action. The allocated person will not be removed from the system and may be relocated elsewhere."
containersCollective.seatActionModalContentDeleteManager,"A exclusão definitiva de uma cadeira de responsável implica na mudança do coletivo em que ela está inserida, se tornando um coletivo expandido simples e afetando todos os cálculos do coletivo e das pessoas nele inseridas. A pessoa alocada nesta cadeira não será removida do sistema e poderá ser realocada em outro lugar.","The definitive deletion of a manager's position implies in the change of the working group in which it is inserted, becoming a simple expanded working group and affecting all the calculations of the working group and of the people inserted in it. The person allocated to this position will not be removed from the system and may be relocated elsewhere."
containersCollective.seatActionModalContentFooterDeleteManager,"Ao continuar, essa exclusão não poderá ser desfeita.","By continuing, this deletion cannot be undone."
containersCollective.confirmCloseTabOnCreation,"Se você continuar, todas as informações que você preencheu serão perdidas e a criação será cancelada","If you continue, all the information you filled in will be lost and the creation will be canceled"
containersCollective.confirmCloseTabOnUpdate,"Se você continuar, todas as informações que você preencheu serão perdidas e a atualização será cancelada","If you continue, all the information you filled in will be lost and the update will be canceled"
containersCollective.confirmCloseTabOnMove,"Se você continuar, todas as informações que você selecionou serão perdidas e a movimentação da cadeira será cancelada.","If you continue, all the information you selected will be lost and the position movement will be cancelled."
components.collectives,Coletivos,Working groups
components.jobTitles,Cargos,Job titles
components.occupations,Funções,Functions
components.people,Pessoas,Persons
components.howYouSolveAlert,Explique como você resolveu este alerta,Explain how you solved this alert
components.howYouSolveAlertWithoutActionPlan,"Explique como você resolveu esse problema agora, sem precisar de um Plano de Ação","Explain how you solved this alert, with no need of an Action Plan"
components.whyThisIsAFakeAlert,Favor justificar porque esse é um falso alerta,Please explain why this is not na alert
components.justification,Justificativa,Justification
components.toJustify,Justificar,Justify
components.ifAlertIsNotAProblem,"Caso você considere que esse alerta não seja um problema real a ser solucionado, favor encerrá-lo apresentando a sua justificativa.","If you consider that this alert is not a real problem to be solved, please close it and give your justification."
components.priorityLevel,Prioridade {{level}},Priority {{level}}
components.solveNow,Resolver agora,Solve now
components.createActionPlan,Criar plano de ação,Create an Action Plan
components.isNotAnAlert,Não é um alerta,It is not an alert
components.foundIn,Encontrado em,Found in
components.filterBy,Filtrar por,Filterby
components.notFoundResults,Não foi encontrado nenhum resultado,No result was found
components.useKeywordsToSearch,Tente fazer a pesquisa utilizando outras palavras-chave,Try searching with other keywords
components.removeImage,Remover Image,Delete Image
components.importedBy,Importado por,Import by
components.lowAutonomy,Baixa autonomia,Low autonomy
components.midAutonomy,Média autonomia,Medium autonomy
components.highAutonomy,Alta autonomia,High autonomy
login.tacitoSPresentation,Mapeamento e Desenvolvimento de Expertise,Expertise Mapping and Development
login.accessYouAccount,Acesse sua conta,Access your account
login.forgotPasswordLink,Esqueci minha senha,Forgot my password
login.modalTitle,Entre em contato com o administrador do sistema,Contact the system administrator
login.modalBody,"Para recuperar sua senha, é necessário contatar o responsável pelo Tacito na sua organização.","To recover your password, it is necessary to contact the person in charge of the Tacito in your organization."
login.modalNextText,OK,OK
login.submitButton,Entrar,Enter
forgotPassword.title,Esqueci minha senha,Forgot my password
forgotPassword.emailPlaceholder,Seu email cadastrado,Your registered email
forgotPassword.instructions,"Para recuperar seu acesso, informe seu email cadastrado para te enviarmos um link para redefinição de senha","To recover your access, fill in your registered email so we can send you a link for resetting your password"
forgotPassword.submitButton,Redefinir Senha,Reset password
recoveryPassword.title,Redefinição de senha,Password resetting
recoveryPassword.instruction,Crie abaixo uma nova senha para acessar sua conta,Create below a new password to access your account
recoveryPassword.passwordPlaceholder,Digite uma nova senha,Type a new password
recoveryPassword.passwordHelperText,"A senha deverá conter pelo menos 6 caracteres, incluindo letras maiúsculas, minúsculas, um número e um caractere especial","The password must contain at least 6 characters, including uppercase and lowercase letters, a number and a special character"
recoveryPassword.confirmPassword,Confirmação da senha,Confirm password
recoveryPassword.confirmPasswordPlaceholder,Confirme a nova senha,Password confirmation
recoveryPassword.submitButton,Redefinir senha,Reset password
recoveryPassword.modalTitle,Senha redefinida com sucesso!,Password reset successfully!
recoveryPassword.modalBody,Siga para o login e acesse o sistema utilizando as novas credenciais.,Go to login and access the system using the new credentials.
recoveryPassword.modalNextText,Ir para o Login,Go to Login
changePassword.title,Alterar senha,Change password
changePassword.successUpdate,Senha atualizada com sucesso!,Password updated succesfully!
changePassword.currentPassword,Senha atual,Current password
changePassword.newPassword,Nova senha,New password
changePassword.confirmPassword,Confirmar nova senha,Confirm new password
changePassword.cancelButton,Cancelar,Cancel
changePassword.saveButton,Salvar,Save
profile.logout,Sair da conta,Log out of account
profile.yourAccount,Sua conta,Your account
profile.accountEmail,Email da conta,Account email
profile.kindOfUser,Tipo de usuário,User type
profile.username,Nome de usuário,User name
profile.basicsInformation,Informações Básicas,Basic Information
profile.yourData,Seus dados,Your data
profile.fullName,Nome completo,Full name
profile.yourBirthday,Data de nascimento,Date of birth
profile.cpf,cpf,CPF (Brazilian Identity)
profile.dataInformation,Informações de contato,Contact information
profile.corporateEmail,Email corporativo,Company email
profile.personalEmail,Email pessoal,Personal email
profile.corporatePhone,Celular corporativo,Company mobile
profile.phoneOrTelephoneExtension,Telefone/ramal,Phone number/Extension
profile.personalPhone,Celular pessoal,Personal mobile
profile.relationWithCompany,Relação com a empresa,Type of labour contract
profile.genericPasswordPlaceholder,***********,***********
emailSent.title,Link para redefinição de senha enviado para,Link for resetting the password sent to
emailSent.queryEmail,", caso seja este o email cadastrado no sistema",", if this is the email recorded in the system"
emailSent.accessYourEmail,"Acesse seu email e click no link enviado para redefinir a sua senha. Depois, basta realizar o login para ter acesso ao sistema novamente","Check your email box and click in the link we sent to change your password. Then, just login to get access to the system again"
emailSent.checkYourSpam,"Certifique-se de conferir sua caixa de spam ou lixo eletrônico. Caso não tenha recebido o link, solicite o reenvio","Be sure to check your email, span and waste boxes. If you have not received the link, ask for it again"
emailSent.resendLinkButton,Reenviar Link,Resend Link
emailSent.redirectToLoginButton,Ir para o Login,Go to Login
people.underConstruction,Em construção,In construction
functions.underConstruction,Em construção,In construction
generalView.toastTitle,Clique no nome do coletivo para visualizá-lo na Visão Local,Click in the name of the working group to see it in the Frontline View
generalView.listEmptyContainer,Este usuário não possui Visão Liderança!,This user does not have the Leadership View!
generalView.zoomAndNavigation,Zoom e Navegação,Zoom and Navigation
generalView.tryToUseZoom,Utilize o zoom abaixo,Use the zoom below
generalView.clickToBackToYourLocation,Clique em sua imagem para voltar para sua localização,Click in your picture to go back to your position
generalView.clickAndDragToMoveScreen,Clique e arraste para mover a tela,Click and drag to move the screen
generalView.pressShiftAndScrollWheel,Pressione “Shift” e role a roda do mouse para zoom,"Press ""Shift"" and roll the mouse wheel for zooming"
lgpd.termsTitle,Termos de uso,Terms of use
lgpd.iAgreeTerms,Li e concordo com os Termos de Uso,I have read and agree with the Terms of Use
lgpd.policyTitle,Política de Privacidade,Privacy Policy
lgpd.iAgreePolicy,Li e concordo com as Políticas de Privacidade,I have read and agree with the Privacy Policy
lgpd.acceptButton,Aceitar,Accept
lgpd.refuseButton,Recusar,Decline
settings.title,AM,AM
settings.settingCompany,Configurações da sua organização,Your organization settings
settings.importSheetButton,Importar Planilha,Import Spreadsheet
settings.importHistoryButton,Histórico de importações,Importation History
settingsImportation.title,Entenda o padrão de importação do Tacito,Understand the Tacito importation model
settingsImportation.reading,Estamos fazendo a leitura dos dados do arquivo {{fileName}}. Isso pode levar algum tempo,We are reading the {{fileName}} data. This may take a while
settingsImportation.importing,Estamos importando o arquivo {{fileName}}. Isso pode levar algum tempo,We are uploading the file {{fileName}}. This may take a while
settingsImportation.acceptFormat,formato aceito,accepted format
settingsImportation.description,"Para importar uma planilha e montar a estrutura base da sua organização, você deverá exportá-la como um arquivo CSV.","In order to import a spreedsheet and build the structure of your organization, you must export it in a CSV file."
settingsImportation.howToFill,Como preencher,How to fill in
settingsImportation.instruction1,Cada linha da tabela deverá ser preenchida com os dados de uma pessoa da empresa. Entenda melhor quais dados devem ser inseridos em cada coluna:,Each line of the table must be filled in with the data reagarding each employee of the organization. Understand which pieces of data must be filled in in each column:
settingsImportation.instruction2,Campos marcados com * são obrigatórios,Fields marked with * are compulsory
settingsImportation.importButton,Importar,Import
settingsImportation.downloadModelButton,Baixar modelo,Dowload spreedshet model
settingsImportation.importSuccess,Importação realizada com sucesso!,Succesfull upload!
settingsImportation.importModalTitle,Confirmar importação?,Confirm upload?
settingsImportation.importModalNextText,Confirmar e importar,Confirm and import
settingsHistory.title,Histórico de importação,History of uploads
settingsHistory.listSectionTitle,Não há histórico de importação no momento,There is no history of uploads so far
settingsHistory.listSectionDescription,"Assim que a primeira importação for feita, ela poderá ser visualizada nesta página","As soon as the first upload is done, it will appear on this page"
404error.title,404,404
404error.description,Esta página não está disponível,This page is unavaliable
mappers.expanded_collective,Coletivo Expandido,Expanded Working Group
mappers.in_operation,Em operação,In operation
mappers.minimum_collective,Coletivo Mínimo,Smallest Working Group
mappers.non_manager,Não gestor,Non-manager
mappers.on_vacation,Em férias,On vacation
mappers.openedVacancies,vagas abertas,Open positions
mappers.peoplePositions,Pessoas/Posições,Employees/Positions
mappers.to_hire,A contratar,To be hired
mappers.other,Outros,Others
mappers.own,Próprio,Company employee
mappers.third_party,Terceiro,Contract employee
validationErrors.numberValidation,Este campo deve ser preenchido somente com números,This field must be filled in with numbers only.
validationErrors.emailValidation,Insira um email válido,Fill in a valid email
validationErrors.requiredPassword,Campo senha é obrigatório,Password required
validationErrors.invalidPhoneNumber,Telefone inválido,Invalid telephone
validationErrors.textLength,Mínimo de 3 letras,Minimum of 3 letters
validationErrors.fullName,Escreva o nome completo,Type your full name
validationErrors.passwordField,"A senha deverá conter pelo menos 6 caracteres, incluindo letras maiúsculas, minúsculas, número e caractere especial","The password must contain at least 6 characters, including uppercase and lowercase letters, number and special character"
validationErrors.fullNameCharacters,Use somente letras e espaço!,Use only letters and spaces!
